SUMLEV,COUNTY,COUSUB,CT,BLKGRP,BLOCK,NAME,geoid20,Neighborhood,NeighborhoodGroup
750,3,61000,180300,2,2004,Block 2004,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2005,Block 2005,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2006,Block 2006,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2007,Block 2007,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2008,Block 2008,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2009,Block 2009,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2010,Block 2010,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2011,Block 2011,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2012,Block 2012,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2013,Block 2013,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2014,Block 2014,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2015,Block 2015,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2016,Block 2016,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2017,Block 2017,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2018,Block 2018,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2019,Block 2019,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2020,Block 2020,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2021,Block 2021,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2022,Block 2022,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2023,Block 2023,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2024,Block 2024,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2025,Block 2025,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2026,Block 2026,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2027,Block 2027,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2028,Block 2028,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2029,Block 2029,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2030,Block 2030,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2031,Block 2031,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2032,Block 2032,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2033,Block 2033,4.20032E+14,Allentown,Allentown
750,3,61000,180300,2,2034,Block 2034,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3000,Block 3000,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3001,Block 3001,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3002,Block 3002,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3003,Block 3003,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3004,Block 3004,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3005,Block 3005,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3006,Block 3006,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3007,Block 3007,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3008,Block 3008,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3009,Block 3009,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3010,Block 3010,4.20032E+14,Allentown,Allentown
750,3,61000,180300,3,3011,Block 3011,4.20032E+14,Allentown,Allentown
