,stname,tractfips,2000 Tract,2010 Tract,MUNICIPALITY,Municipality,City Neighborhood,2006-2010 estimate of obesity
59,Pennsylvania,42003141400,141400,,PITTSBURGH  ,Pittsburgh  ,Squirrel-Hill South,0.194095224
60,Pennsylvania,42003151500,151500,562900,PITTSBURGH  ,Pittsburgh  ,Hazelwood,0.399853175
61,Pennsylvania,42003151600,151600,,PITTSBURGH  ,Pittsburgh  ,Greenfield,0.296249604
62,Pennsylvania,42003151700,151700,,PITTSBURGH  ,Pittsburgh  ,Greenfield,0.230732413
63,Pennsylvania,42003160800,160800,,PITTSBURGH  ,Pittsburgh  ,Southside-Slopes,0.303620654
64,Pennsylvania,42003160900,160900,,PITTSBURGH  ,Pittsburgh  ,Southside-Flats,0.250236692
65,Pennsylvania,42003170200,170200,,PITTSBURGH  ,Pittsburgh  ,Southside-Flats,0.244124264
66,Pennsylvania,42003170600,170600,,PITTSBURGH  ,Pittsburgh  ,Southside-Slopes,0.276238992
67,Pennsylvania,42003180300,180300,,PITTSBURGH  ,Pittsburgh  ,Allentown,0.353924826
68,Pennsylvania,42003180700,180700,,PITTSBURGH  ,Pittsburgh  ,Mount-Washington,0.284661545
69,Pennsylvania,42003190300,190300,,PITTSBURGH  ,Pittsburgh  ,Mount-Washington,0.239971797
70,Pennsylvania,42003191100,191100,,PITTSBURGH  ,Pittsburgh  ,Duquesne-Heights,0.248010116
71,Pennsylvania,42003191400,191400,,PITTSBURGH  ,Pittsburgh  ,Mount-Washington,0.264857444
72,Pennsylvania,42003191500,191500,,PITTSBURGH  ,Pittsburgh  ,Mount-Washington,0.283163115
73,Pennsylvania,42003191600,191600,,PITTSBURGH  ,Pittsburgh  ,Beechview,0.295784557
74,Pennsylvania,42003191700,191700,,PITTSBURGH  ,Pittsburgh  ,Brookline,0.288113416
75,Pennsylvania,42003191800,191800,,PITTSBURGH  ,Pittsburgh  ,Brookline,0.271680325
76,Pennsylvania,42003191900,191900,,PITTSBURGH  ,Pittsburgh  ,Brookline,0.281736013
77,Pennsylvania,42003192000,192000,,PITTSBURGH  ,Pittsburgh  ,Beechview,0.281814181
78,Pennsylvania,42003202200,202200,,PITTSBURGH  ,Pittsburgh  ,Sheraden,0.308735055
79,Pennsylvania,42003202300,202300,,PITTSBURGH  ,Pittsburgh  ,Banksville,0.239786459
80,Pennsylvania,42003210700,210700,,PITTSBURGH  ,Pittsburgh  ,Manchester,0.498043254
81,Pennsylvania,42003220600,220600,,PITTSBURGH  ,Pittsburgh  ,Central-Northside,0.397141353
82,Pennsylvania,42003240600,240600,,PITTSBURGH  ,Pittsburgh  ,Troy-Hill,0.311833933
83,Pennsylvania,42003241200,241200,,PITTSBURGH  ,Pittsburgh  ,Spring-Garden,0.311407872
84,Pennsylvania,42003250300,250300,,PITTSBURGH  ,Pittsburgh  ,Central-Northside,0.487120872
85,Pennsylvania,42003250700,250700,,PITTSBURGH  ,Pittsburgh  ,California-Kirkbride,0.771046408
86,Pennsylvania,42003250900,250900,,PITTSBURGH  ,Pittsburgh  ,Fineview,0.499128646
87,Pennsylvania,42003260200,260200,,PITTSBURGH  ,Pittsburgh  ,Perry-North,0.315350013
88,Pennsylvania,42003260700,260700,,PITTSBURGH  ,Pittsburgh  ,Perry-North,0.327274513
89,Pennsylvania,42003260900,260900,,PITTSBURGH  ,Pittsburgh  ,Northview Heights,0.92293244
90,Pennsylvania,42003261200,261200,,PITTSBURGH  ,Pittsburgh  ,Summer-Hill,0.302258313
91,Pennsylvania,42003261400,261400,,PITTSBURGH  ,Pittsburgh  ,Perry-South,0.495056886
92,Pennsylvania,42003261500,261500,,PITTSBURGH  ,Pittsburgh  ,Perry-South,0.411792085
93,Pennsylvania,42003262000,262000,,PITTSBURGH  ,Pittsburgh  ,Spring-Hill-Cityview,0.335105173
94,Pennsylvania,42003270100,270100,,PITTSBURGH  ,Pittsburgh  ,Brighton-Heights,0.297589356
